command_id,title,help,element_type,access,MEP,Cluster,Element,InvokeResponse,Invoke,WriteResponse,Write,ReadResponse,Read,arg,name,dtype,description,longdescription,unit,range_min,range_max,less_than,greater_than,meanings,friendly_meanings
Measurement.CTSampleRatio,CT Ratio,Select the current transformer (CT) ratio used for metering electric current on the grid port connection. This must match the CT hardware rating so that current and power readings are accurate.,attribute,RW,HybridInverter,Measurement,CTSampleRatio,,,"{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1744336901,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""Measurement"",
                ""Element"": ""CTSampleRatio"",
                ""arguments"": {
                    ""Direction"": ""1/2000""
                },
                ""code"": 0,
                ""message"": ""Success""
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Write"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""Measurement"",
                ""Element"": ""CTSampleRatio"",
                ""arguments"": {
                    ""Direction"": ""1/2000""
                }
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}","{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1744336863,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""Measurement"",
                ""Element"": ""CTSampleRatio"",
                ""code"": 0,
                ""Data"": {
                    ""Direction"": ""1/1000""
                }
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Read"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""Measurement"",
                ""Element"": ""CTSampleRatio""
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}",Direction,CT Ratio,enum,,,,,,,,"1/1000,1/2000,1/3000,1/4000,1/6000","1/1000,1/2000,1/3000,1/4000,1/6000"
Measurement.CTDirection,CT Direction,Sets the CT installation direction. You may choose to reverse this if your inverter is reading import when power is actually flowing out to the grid (export) or vice versa.,attribute,RW,HybridInverter,Measurement,CTDirection,,,,,,,Direction,Direction,enum,,,,,,,,"Normal,Reversed","Normal,Reversed"
BatteryBase.BatteryType,Battery Type,"Specifies the chemistry or general type of connected battery. Choose **No Battery** for standalone PV or grid-tie operation, **Lead-acid** for flooded or AGM batteries, or **Lithium-ion** for managed BMS packs.",attribute,RW,HybridInverter,BatteryBase,BatteryType,,,"{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735018521,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""BatteryBase"",
                ""Element"": ""BatteryType"",
                ""arguments"": {
                    ""Type"": ""Lead-acid""
                },
                ""code"": 0,
                ""message"": ""Success""
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Write"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""BatteryBase"",
                ""Element"": ""BatteryType"",
                ""arguments"": {
                    ""Type"": ""Lead-acid""
                }
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}","{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735018400,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""BatteryBase"",
                ""Element"": ""BatteryType"",
                ""code"": 0,
                ""message"": {
                    ""Type"": ""NoBattery""
                }
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Read"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""BatteryBase"",
                ""Element"": ""BatteryType""
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}",Type,Type,enum,,,,,,,,"NoBattery,Lead-acid,Lithom-ion","No Battery,Lead-acid,Lithium-ion"
BatteryBase.BatteryBrand,Battery Brand,Selects the manufacturer profile for the connected battery. This may pre-configure recommended voltage and SOC limits for optimal operation.,attribute,RW,HybridInverter,BatteryBase,BatteryBrand,,,,,,,Brand,Brand,enum,,,,,,,,Fortress,Fortress
BatteryBase.AbsorbVoltage,Absorb Voltage,Sets the voltage used during the absorb (bulk-to-float transition) phase. Increasing this value raises the upper charge threshold for lead-acid batteries.,attribute,RW,HybridInverter,BatteryBase,AbsorbVoltage,,,,,,,Volt,Voltage (Vdc),Number,,,,,,,,,
BatteryBase.FloatVoltage,Float Voltage,Defines the voltage maintained once the battery is fully charged. This helps prevent overcharging while keeping the battery topped off.,attribute,RW,HybridInverter,BatteryBase,FloatVoltage,,,,,,,Volt,Voltage (Vdc),Number,,,,,,,,,
BatteryBase.VbatStartDerating,Start Derating Voltage,Voltage threshold where the inverter begins reducing charge or discharge current to protect the battery as it approaches full or low state.,attribute,RW,HybridInverter,BatteryBase,VbatStartDerating,,,,,,,Volt,Voltage (Vdc),Number,,,,,,,,,
BatteryBase.ChaDisChaCtrlType,Battery Control Type,"Determines how the inverter regulates both charging and discharging.

SOC: Uses battery state of charge thresholds to start and stop charge/discharge.

Volt: Uses DC voltage limits instead.",attribute,RW,HybridInverter,BatteryBase,ChaDisChaCtrlType,,,,,,,ChargeCtrlType,Charge Control,enum,,,,,,,,"SOC,Volt","SOC,Volt"
,,,,,,,,,,,,,,DisChargeCtrlType,Discharge Control,enum,,,,,,,,"SOC,Volt","SOC,Volt"
BatteryBase.ChargeLimitSoc,Charge Limit (SOC),"Sets the maximum state of charge (SOC) the battery will be charged to. Once the battery reaches this level, charging stops to prevent overcharging and extend lifespan.",attribute,RW,HybridInverter,BatteryBase,ChargeLimitSoc,,,,,,,SOC,SOC (%),Number,,,,0.0,100.0,,,,
BatteryBase.MaxChaDisChaCurrent,Max Battery Current,Sets the maximum charging and discharging current allowed for the connected inverter. Choose the preset that matches your inverter model to automatically apply the correct limits.,attribute,RW,HybridInverter,BatteryBase,MaxChaDisChaCurrent,,,,,,,MaxChargingCurrent,Max Charge Preset,enum,,,,,,,,"Envy12K,Envy10K,Envy8K","Envy12K,Envy10K,Envy8K"
,,,,,,,,,,,,,,MaxDischargingCurrent,Max Discharge Preset,enum,,,,,,,,"Envy12K,Envy10K,Envy8K","Envy12K,Envy10K,Envy8K"
BatteryBase.OnGridCutOffSoc,On-Grid Battery Cutoff SOC,"Sets the minimum state of charge (SOC) the battery will discharge to while grid power is available. Below this level, the inverter will stop discharging and switch to grid power to protect battery capacity.",attribute,RW,HybridInverter,BatteryBase,OnGridCutOffSoc,,,,,,,SOC,SOC (%),Number,Recommended: between 21-90%.  Must be higher than the Off-Grid Battery Cutoff SOC.,,,0.0,100.0,,,,
BatteryBase.OffGridCutOffSoc,Off-Grid Battery Cutoff SOC,"Sets the minimum state of charge (SOC) the battery will discharge to when operating off-grid. Once the battery reaches this level, the inverter stops discharging to prevent deep discharge and maintain battery health.",attribute,RW,HybridInverter,BatteryBase,OffGridCutOffSoc,,,,,,,SOC,SOC (%),Number,Recommended: between 20-89%.  Must be lower than the On-Grid Battery Cutoff SOC.,,,0.0,100.0,,,,
BatteryBackup.BatteryBackupMode,Battery Backup Mode,"Enables or disables battery-backup operation. When enabled, the inverter reserves part of the battery capacity to power critical loads during a grid outage.",attribute,RW,HybridInverter,BatteryBackup,BatteryBackupMode,,,"{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735023847,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""BatteryBackup"",
                ""Element"": ""BatteryBackupMode"",
                ""arguments"": {
                    ""Mode"": ""Enable""
                },
                ""code"": 0,
                ""message"": ""Success""
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Write"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""BatteryBackup"",
                ""Element"": ""BatteryBackupMode"",
                ""arguments"": {
                    ""Mode"": ""Enable""
                }
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}","{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735023766,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""BatteryBackup"",
                ""Element"": ""BatteryBackupMode"",
                ""code"": 0,
                ""message"": {
                    ""Mode"": ""Disable""
                }
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Read"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""BatteryBackup"",
                ""Element"": ""BatteryBackupMode""
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}",Mode, ,enum,,,,,,,,"Disable,Enable","Disable Backup Mode,Enable Backup Mode"
BatteryBackup.BatteryReserveSOC,Battery Reserve SOC,"While Battery Backup Mode is enabled, the battery will stop discharging once it reaches this level. When Backup Mode is disabled, normal operation applies and discharge will continue down to the On-Grid or Off-Grid Battery Cutoff SOC.",attribute,RW,HybridInverter,BatteryBackup,BatteryReserveSOC,,,,,,,SOC,SOC (%),Number,,,,0.0,100.0,,,,
BatteryScheduling.BatteryScheduling,Battery Scheduling,"This is a special scheduling mode designed for certain time-of-use (TOU) utility rates or other custom situations. In most circumstances, we recomment allowing your system to  manage charging and discharging automatically without setting a schedule.  You don't need to set a schedule unless you have a specific reason to charge or discharge at exact times.",attribute,RW,HybridInverter,BatteryScheduling,BatteryScheduling,,,"{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735025852,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""BatteryScheduling"",
                ""Element"": ""BatteryScheduling"",
                ""arguments"": {
                    ""Mode"": ""Enable""
                },
                ""code"": 0,
                ""message"": ""Success""
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Write"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""BatteryScheduling"",
                ""Element"": ""BatteryScheduling"",
                ""arguments"": {
                    ""Mode"": ""Enable""
                }
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}","{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735025771,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""BatteryScheduling"",
                ""Element"": ""BatteryScheduling"",
                ""code"": 0,
                ""message"": {
                    ""Mode"": ""Disable""
                }
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Read"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""BatteryScheduling"",
                ""Element"": ""BatteryScheduling""
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}",Mode,Scheduling,enum,,,,,,,,"Disable,Enable","Disable Scheduling,Enable the 'PV Charge Only' and 'Discharge Only' scheduling modes"
